location,month,case_fatality_rate,total_cases,new_cases,total_deaths,new_deaths
Montenegro,5,1.0,323.7741935483871,0.06451612903225806,8.67741935483871,0.06451612903225806
Montenegro,6,0.013392857142857144,364.03333333333336,7.466666666666667,9.233333333333333,0.1
Montenegro,7,0.014257425742574258,1762.1935483870968,81.45161290322581,28.64516129032258,1.1612903225806452
Montenegro,8,0.029511918274687857,4008.064516129032,56.83870967741935,74.90322580645162,1.6774193548387097
Montenegro,9,0.011622031328954016,7572.966666666666,197.9,129.7,2.3
Montenegro,10,0.01743955608402695,14887.032258064517,244.16129032258064,228.48387096774192,4.258064516129032
Montenegro,11,0.011699361852989837,27352.966666666667,564.1333333333333,395.7,6.6
Montenegro,12,0.014096441226313358,42334.6129032258,418.7741935483871,599.3225806451613,5.903225806451613
Morocco,3,0.07956387210844261,125.26666666666667,20.566666666666666,8.727272727272727,1.6363636363636365
Morocco,4,0.03520756699947452,2395.5666666666666,126.86666666666666,120.43333333333334,4.466666666666667
Morocco,5,0.010342789598108748,6559.290322580645,109.16129032258064,190.90322580645162,1.1290322580645162
Morocco,6,0.004866694879390606,9480.366666666667,157.53333333333333,212.93333333333334,0.7666666666666667
Morocco,7,0.010603104589023665,17114.612903225807,380.2903225806452,271.5806451612903,4.032258064516129
Morocco,8,0.02059161701682868,42665.54838709677,1234.4516129032259,700.258064516129,25.419354838709676
Morocco,9,0.017244485203805907,92242.66666666667,2035.4333333333334,1676.0666666666666,35.1
Morocco,10,0.01572864163636554,168809.2258064516,3078.4193548387098,2876.1290322580644,48.41935483870968
Morocco,11,0.015671902777373008,292163.1666666667,4575.066666666667,4827.133333333333,71.7
Morocco,12,0.018610376914442953,404762.6451612903,2672.8064516129034,6733.032258064516,49.74193548387097
Mozambique,3,,5.6,0.8,,
Mozambique,4,,35.4,2.2666666666666666,,
Mozambique,5,0.04975922953451043,141.32258064516128,5.741935483870968,1.5714285714285714,0.2857142857142857
Mozambique,6,0.006299212598425197,596.2333333333333,21.166666666666668,3.466666666666667,0.13333333333333333
Mozambique,7,0.005128205128205128,1347.0967741935483,31.451612903225808,9.35483870967742,0.16129032258064516
Mozambique,8,0.0058479532163742695,2856.8387096774195,66.19354838709677,18.35483870967742,0.3870967741935484
Mozambique,9,0.007896924355777223,5998.333333333333,160.4,39.166666666666664,1.2666666666666666
Mozambique,10,0.007486114465105047,10735.322580645161,133.58064516129033,76.0,1.0
Mozambique,11,0.013771186440677966,14416.033333333333,94.4,112.6,1.3
Mozambique,12,0.011900714042842571,17177.58064516129,94.87096774193549,145.74193548387098,1.1290322580645162
Myanmar,3,0.3333333333333333,11.0,3.0,1.0,1.0
Myanmar,4,0.03676470588235294,80.26666666666667,4.533333333333333,3.6666666666666665,0.16666666666666666
Myanmar,5,0.0,186.4516129032258,2.3548387096774195,6.0,0.0
Myanmar,6,0.0,267.26666666666665,2.5,6.0,0.0
Myanmar,7,0.0,333.38709677419354,1.7419354838709677,6.0,0.0
Myanmar,8,0.0,447.16129032258067,17.06451612903226,6.0,0.0
Myanmar,9,0.02433752301657193,5013.4,416.3666666666667,84.1,10.133333333333333
Myanmar,10,0.023567996338952027,33468.93548387097,1268.8064516129032,797.7096774193549,29.903225806451612
Myanmar,11,0.018522903675638695,70954.1,1266.9,1593.0666666666666,23.466666666666665
Myanmar,12,0.02184745113070142,110574.3870967742,1094.0967741935483,2340.6129032258063,23.903225806451612
Namibia,3,,5.388888888888889,0.6111111111111112,,
Namibia,4,,15.733333333333333,0.16666666666666666,,
Namibia,5,,17.870967741935484,0.25806451612903225,,
Namibia,6,,61.43333333333333,6.033333333333333,,
Namibia,7,0.007323757323757324,1095.2903225806451,62.064516129032256,4.954545454545454,0.45454545454545453
Namibia,8,0.011990407673860911,4434.8387096774195,174.8709677419355,36.064516129032256,2.096774193548387
Namibia,9,0.012382234185733514,9782.9,123.83333333333333,104.1,1.5333333333333334
Namibia,10,0.00718562874251497,12182.90322580645,53.87096774193548,129.51612903225808,0.3870967741935484
Namibia,11,0.01245674740484429,13571.433333333332,48.166666666666664,139.73333333333332,0.6
Namibia,12,0.005647944775651083,18038.322580645163,308.4193548387097,169.80645161290323,1.7419354838709677
Nepal,1,,1.0,0.14285714285714285,,
Nepal,2,,1.0,0.0,,
Nepal,3,,1.8064516129032258,0.12903225806451613,,
Nepal,4,,26.4,1.7333333333333334,,
Nepal,5,0.010231023102310232,435.6774193548387,48.87096774193548,3.625,0.5
Nepal,6,0.0017511674449633087,7011.733333333334,399.73333333333335,18.966666666666665,0.7
Nepal,7,0.0043499275012083135,17275.322580645163,200.2258064516129,39.96774193548387,0.8709677419354839
Nepal,8,0.008735842348519478,27856.870967741936,635.1290322580645,117.83870967741936,5.548387096774194
Nepal,9,0.007039132361759262,58242.4,1278.5666666666666,371.26666666666665,9.0
Nepal,10,0.004724189139745604,125689.58064516129,2997.6129032258063,713.3548387096774,14.161290322580646
Nepal,11,0.009105551037331164,207771.93333333332,2090.3,1229.5,19.033333333333335
Nepal,12,0.012821929921520947,249712.35483870967,875.516129032258,1719.0,11.225806451612904
Netherlands,2,,2.6666666666666665,2.0,,
